epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
71,8623.64,0.41661,0.32982,1.03761,0.99523,0.99602,0.99499,0.92359,0.39736,0.18207,0.86287,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,8743.08,0.42429,0.33509,1.044,0.99309,0.99768,0.99494,0.92441,0.39716,0.18242,0.86337,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,8863.73,0.42035,0.33132,1.0394,0.99318,0.99633,0.99492,0.92498,0.39291,0.18203,0.85925,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,8985.29,0.41639,0.32899,1.03673,0.99503,0.99493,0.99488,0.92513,0.39162,0.18229,0.85851,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,9105.52,0.41669,0.33094,1.03937,0.99412,0.99535,0.99492,0.92568,0.39205,0.18086,0.85897,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,9227.3,0.41077,0.31632,1.03517,0.99258,0.99667,0.99492,0.92479,0.39422,0.18114,0.86091,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,9349.06,0.41051,0.31538,1.03532,0.99281,0.99582,0.99448,0.92514,0.3975,0.18266,0.86489,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,9470.15,0.40849,0.32063,1.03357,0.99201,0.99635,0.99448,0.92449,0.39717,0.18257,0.86476,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,9592.42,0.40732,0.31493,1.03351,0.99263,0.99718,0.99453,0.92418,0.39617,0.18015,0.86242,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,9711.83,0.41018,0.31364,1.03452,0.99271,0.99706,0.99452,0.92403,0.39613,0.17948,0.86327,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,9833.59,0.40061,0.3098,1.02702,0.99358,0.99733,0.99499,0.92495,0.39587,0.17764,0.86215,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,9955.21,0.40391,0.30535,1.03084,0.99622,0.99513,0.99497,0.92433,0.3967,0.17736,0.8634,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,10076.4,0.40214,0.31299,1.02988,0.99467,0.99635,0.99499,0.92513,0.3974,0.17767,0.86437,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,10195.8,0.39868,0.3008,1.02925,0.99445,0.9966,0.995,0.92596,0.39606,0.17696,0.86265,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
